,sfs,kapitel i OSL,paragraf i OSL,sekretess,kategori,antal år sekretessen gäller,kommentar,sdate,pre,prop,eu,prop_link,text_length,pages,sfs_url,tags
0,2018:2027,30,6b,,EU,50,anpassad efter ny EU-förordning,2019-01-01,"Prop. 2018/19:4, bet. 2018/19:FiU18, rskr. 2018/19:53",['2018/19:4'],False,['http://data.riksdagen.se/fil/18611FA9-944C-4E55-931F-D6CD3ECCB845'],1365,1,https://svenskforfattningssamling.se/sites/default/files/sfs/2018-12/SFS2018-2027.pdf,"['visselblåsare', 'marknadsmissbruk', 'finansiell information', 'e-identifiering', 'unionsregistret']"
1,2018:2033,27,2,ökad,,20,,2019-01-01,"Prop. 2018/19:9, bet. 2018/19:SkU5, rskr. 2018/19:60",['2018/19:9'],False,['http://data.riksdagen.se/fil/79B5196F-B302-47F6-A2F3-50EF45B635D2'],1779,1,https://svenskforfattningssamling.se/sites/default/files/sfs/2018-12/SFS2018-2033.pdf,"['skatt', 'beskattning', 'Tullverket', 'kassaregister', 'dokumentationsavgift', 'kreditövervakning']"
2,2018:2093,30,20,ökad,,50,,2019-07-01,"Prop. 2017/18:156, bet. 2018/19:SoU3, rskr. 2018/19:61",['2017/18:156'],False,['http://data.riksdagen.se/fil/002CE9FE-3596-478E-9A65-FE596FC7C978'],1088,1,https://svenskforfattningssamling.se/sites/default/files/sfs/2018-12/SFS2018-2093.pdf,"['tobaksförsäljning', 'företag', 'sekretess för medlemmar']"
3,2019:213,40,7c,,överföring av sekretess,,,2019-06-01,"Prop. 2018/19:47, bet. 2018/19:KU35, rskr. 2018/19:185",['2018/19:47'],False,['http://data.riksdagen.se/fil/5116B212-B049-4883-80FC-8BF8A3AAF30C'],840,1,https://svenskforfattningssamling.se/sites/default/files/sfs/2019-04/SFS2019-213.pdf,"['gemensam offentlig service', 'utredningshandlingar', 'vård']"
4,2019:249,43,4,ökad,,70,,2019-07-01,"Prop. 2018/19:66, bet. 2018/19:JuU22, rskr. 2018/19:195",['2018/19:66'],False,['http://data.riksdagen.se/fil/F91B34CD-1527-4359-9783-59F68F397DB3'],797,1,https://svenskforfattningssamling.se/sites/default/files/sfs/2019-05/SFS2019-249.pdf,"['domstolsförhandlingar', 'videoupptagningar', 'yppandeförbud', 'e-identifiering', 'förhörssekretess']"
5,2019:280,30,6,ökad,EU,20,,2019-06-01,"Prop. 2018/19:38, bet. 2018/19:FiU37, rskr. 2018/19:200",['2018/19:38'],False,['http://data.riksdagen.se/fil/56FCE182-92B2-408B-AE0A-13500364822B'],1722,1,https://svenskforfattningssamling.se/sites/default/files/sfs/2019-05/SFS2019-280.pdf,"['bankväsende', 'värdepapper', 'insättarskydd', 'EU-domstol', 'cybersäkerhet']"
6,2019:305,18,8a,ökad,,40,"meddelarfrihet gäller, enligt ändringen i §19",2019-07-01,"Prop. 2018/19:81, bet. 2018/19:JuU23, rskr. 2018/19:227",['2018/19:81'],False,['http://data.riksdagen.se/fil/7DB97835-80D8-4756-97C9-A6ABC3C0657E'],2877,2,https://svenskforfattningssamling.se/sites/default/files/sfs/2019-05/SFS2019-305.pdf,"['incidentrapportering', 'postsekretess', 'yppandeförbud', 'Domstolsverket']"
7,2019:305,18,8b,,,,,2019-07-01,"Prop. 2018/19:81, bet. 2018/19:JuU23, rskr. 2018/19:227",['2018/19:81'],False,['http://data.riksdagen.se/fil/7DB97835-80D8-4756-97C9-A6ABC3C0657E'],2877,2,https://svenskforfattningssamling.se/sites/default/files/sfs/2019-05/SFS2019-305.pdf,"['incidentrapportering', 'postsekretess', 'yppandeförbud', 'Domstolsverket']"
8,2019:305,18,8c,,,,,2019-07-01,"Prop. 2018/19:81, bet. 2018/19:JuU23, rskr. 2018/19:227",['2018/19:81'],False,['http://data.riksdagen.se/fil/7DB97835-80D8-4756-97C9-A6ABC3C0657E'],2877,2,https://svenskforfattningssamling.se/sites/default/files/sfs/2019-05/SFS2019-305.pdf,"['incidentrapportering', 'postsekretess', 'yppandeförbud', 'Domstolsverket']"
9,2019:305,18,19,,,,,2019-07-01,"Prop. 2018/19:81, bet. 2018/19:JuU23, rskr. 2018/19:227",['2018/19:81'],False,['http://data.riksdagen.se/fil/7DB97835-80D8-4756-97C9-A6ABC3C0657E'],2877,2,https://svenskforfattningssamling.se/sites/default/files/sfs/2019-05/SFS2019-305.pdf,"['incidentrapportering', 'postsekretess', 'yppandeförbud', 'Domstolsverket']"
